Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Heavy and Light Vehicle Rest Area	Sutton Park	"GREAT WESTERN HWY, BLACKHEATH"	30.29km from Lithgow	Both Directions	-33.64643	150.28419	Council	Litter Bins
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, MANDURAMA"	2.4km East of Mandurama	Both Directions	-33.64004	149.10151	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Neates Park	"GREAT WESTERN HWY, BLACKHEATH"	29.1km from Lithgow	Both Directions	-33.63709	150.28501	Council	Litter Bins
Heavy and Light Vehicle Rest Area		"GREAT WESTERN HWY, BLACKHEATH"	26km from Lithgow	Both Directions	-33.62012	150.27511	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Memorial Park Goolagong	"COWRA-FORBES RD, GOOLOOGONG"	Goolagong-47.3km East of Forbes	Both Directions	-33.61362	148.43458	Other	Litter Bins
Heavy and Light Vehicle Rest Area	Former RTA Weighbridge	"PACIFIC HWY, BEROWRA HEIGHTS"	29.4km North start of Pacific Hwy	Southbound	-33.61148	151.15895	Roads and Maritime Services	"Toilets, "
Heavy and Light Vehicle Rest Area	Mt. Boyce	"GREAT WESTERN HWY, MOUNT VICTORIA"	25.19km from Lithgow	Southbound	-33.60723	150.27036	Roads and Maritime Services	"Shelter, "
Heavy and Light Vehicle Rest Area	West Plains Locality	"NEWELL HIGHWAY, MARSDEN PARK"	42.5km South of Forbes	Both Directions	-33.60618	147.61392	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Grand Circular Tourist Drive Information Centre	"WINDSOR ST, CLARENDON"	1.05km from Ritchmond	Both Directions	-33.6061	150.77981	Council	Litter Bins
Heavy and Light Vehicle Rest Area		"WINDSOR ST, CLARENDON"	0.07km from Ritchmond	Both Directions	-33.60518	150.77554	Council	Litter Bins
Heavy and Light Vehicle Rest Area	Browntown Oval	"GREAT WESTERN HWY, BLACKHEATH"	24km from Lithgow	Both Directions	-33.5994	150.26443	Council	Litter Bins
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, BLAYNEY"	10.3km East of Mandurama	Both Directions	-33.59879	149.16598	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Victoria Pass Surveyor Plaque	"GREAT WESTERN HIGHWAY, MOUNT VICTORIA"	20.004km from Lithgow	Both Directions	-33.58325	150.24119	Other	Litter Bins
Light Vehicle Rest Area	Bunnerungee Rest Area	"SILVER CITY HIGHWAY, NR BUNNERUNGEE"	67km from Wentworth and  200km to Broken Hill	Both Directions	-33.58071	141.75593	Roads and Maritime Services	"Toilets, Litter Bins"
Load Checking Area		"COWRA RD, BLAYNEY"	1.2km West of Blayney	Both Directions	-33.5476	149.23648	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Mt Tomah Rest Area	"BELLS LINE OF RD, MOUNT TOMAH"	35km from Lithgow	Both Directions	-33.54738	150.42427	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Heritage Park/Blayney	"ADELAIDE ST, BLAYNEY"	Blayney-Heritage Park	Both Directions	-33.53794	149.25442	Other	"Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Bellbird Hill Reserve	"BELLS LINE OF RD, KURRAJONG"	62.8km from Lithgow	Both Directions	-33.53773	150.63307	Council	Litter Bins
Load Checking Area		"THE PUTTY RD, WILBERFORCE"	1.7km from Kurmond turn off	Both Directions	-33.53766	150.83552	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Berambing Picnic Area	"BELLS LINE OF RD, BERAMBING"	39km from Lithgow	Both Directions	-33.53725	150.43901	Council	"Emergency Phone, Toilets, Shelter, Picnic Tables "
Load Checking Area	Hawkesbury River	"SYDNEY-NEWCASTLE FREEWAY, MOONEY MOONEY"	45km from Sydney	Southbound	-33.53219	151.20021	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Hawkesbury River	"SYDNEY-NEWCASTLE FREEWAY, MOONEY MOONEY"	45km from Sydney	Northbound	-33.52997	151.20042	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	River Lett Hill (right)	"GREAT WESTERN HIGHWAY, HARTLEY"	8.25km East of Lithgow	Both Directions	-33.52684	150.15373	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Oconnell Playground NSW Sport & Rec Org.	"HARTLEY-JENOLAN CAVES-BATHURST, O'CONNELL"	16.5km from Bathurst	Both Directions	-33.52651	149.72387	Other	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	River Lett Hill (left)	"GREAT WESTERN HIGHWAY, HARTLEY"	8.1km East of Lithgow	Both Directions	-33.5261	150.15377	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"NEWELL HIGHWAY, MARSDEN PARK"	27.8km South of Forbes	Both Directions	-33.52195	147.73349	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Bilpin Information Centre	"BELLS LINE OF RD, KURRAJONG HEIGHTS"	57km from Lithgow	Both Directions	-33.51646	150.60246	Council	
Heavy and Light Vehicle Rest Area		"BELLS LINE OF RD, KURRAJONG HEIGHTS"	54.1km from Lithgow	Both Directions	-33.51225	150.5726	Roads and Maritime Services	
Load Checking Area	Hillston Rest Area	"KIDMAN WAY, NR HILLSTON"	108km from Griffith and  2km to Hillston	Both Directions	-33.50452	145.53221	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Jumping Sandhills	"COBB HIGHWAY, NR BOOLIGAL"	127km from Hay  and  81km to Ivanhoe	Westbound	-33.50036	144.72297	Roads and Maritime Services	
Light Vehicle Rest Area	Bilpin Reserve	"BELLS LINE OF RD, BILPIN"	48.4km from Lithgow	Both Directions	-33.49628	150.51733	Council	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Lithgow Endeavor Park	"GREAT WESTERN HIGHWAY, LITHGOW"	1.2km from Lithgow	Northbound	-33.49189	150.13409	Other	"Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Load Checking Area		"NEWELL HIGHWAY, FORBES"	18.7km South of Forbes	Both Directions	-33.48495	147.81596	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Dicks Creek	"MID WESTERN HIGHWAY, EVANS PLAINS"	16.7km East of Blayney	Both Directions	-33.48248	149.41647	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"GREAT WESTERN HIGHWAY, LITHGOW"	0.48km West of Lithgow	Eastbound	-33.47684	150.1321	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Bundaburra Aquatic Area	"NEWELL HIGHWAY, FORBES"	13.4km South of Forbes	Both Directions	-33.46948	147.88363	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Seven Trees Rest Area	"SILVER CITY HIGHWAY, NR BUNNERUNGEE"	82km from Wentworth and 185km to Broken Hill	Both Directions	-33.46355	141.71043	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Load Checking Area		"THE PUTTY RD, COLO"	12.4km from Kurmond turn off	Both Directions	-33.46153	150.81332	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Mt Lambie Scenic	"GREAT WESTERN HIGHWAY, MOUNT LAMBIE"	20.28km from Lithgow	Both Directions	-33.45544	149.9771	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"MID WESTERN HIGHWAY, EVANS PLAINS"	25.1km East of Blayney	Both Directions	-33.45356	149.49455	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Bundaburra Creek Bridge	"NEWELL HIGHWAY, FORBES"	8km South of Forbes	Both Directions	-33.44112	147.90941	Roads and Maritime Services	Litter Bins
Load Checking Area		"THE PUTTY RD, COLO"	16km from Kurmond turn off	Both Directions	-33.43722	150.82522	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area		"MID WESTERN HIGHWAY, BATHURST"	29.7km East of Blayney	Both Directions	-33.43441	149.53292	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Vittoria	"MITCHELL HIGHWAY, VITTORIA"	18.76km from Bathurst	Both Directions	-33.43215	149.38039	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area		"NEWELL HIGHWAY, FORBES"	6km South of Forbes	Both Directions	-33.42969	147.92631	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Marrangaroo-Tunnel Hill	"GREAT WESTERN HIGHWAY, MARRANGAROO"	7.00km from Lithgow	Southbound	-33.42874	150.10542	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Tunnel Hill	"GREAT WESTERN HIGHWAY, MARRANGAROO"	0.74km from Mudgee turnoff	Southbound	-33.42604	150.10434	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"MITCHELL HIGHWAY, DUNKELD"	16.2km from Bathurst	Both Directions	-33.42441	149.40501	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Rocks Hill	"MITCHELL HIGHWAY, DUNKELD"	10.73km from Bathurst	Both Directions	-33.41783	149.45796	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Berry Park Bathurst	"GREAT WESTERN HIGHWAY, KELSO"	57km from Lithgow	Both Directions	-33.41714	149.59396	Other	"Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Light Vehicle Rest Area	Bathurst Hector Park Information Bay	"VITTORIA ST, BATHURST"	Bathurst - W of Stewart St.	Both Directions	-33.4161	149.55862	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Escort Rock Rest Area	"BOREE-EUGOWRA RD, EUGOWRA"	35.4km West of Cudal	Both Directions	-33.40145	148.40976	Other	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Forbes Apex Park	"WEST WYALONG RD, FORBES"	Apex Park at Lake Forbes	Both Directions	-33.38894	148.00821	Council	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Shadforth Reserve	"WHILEYS JUNCTION-SHADFORTH RD, WHILEYS JUNCTION"	0.045km South of Mitchell Hwy junction	Both Directions	-33.37535	149.1888	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"PARKES RD, FORBES"	North Forbes	Both Directions	-33.36342	148.02308	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"PARKES RD, FORBES"	1km North of Forbes	Both Directions	-33.34707	148.03236	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Ourimbah Rest Area	"SYDNEY-NEWCASTLE FREEWAY, OURIMBAH"	79km from Sydney	Both Directions	-33.34309	151.36724	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area		"KIDMAN WAY, WALLANTHERY"	37km from Hillston and  218km to Cobar	Both Directions	-33.34138	145.8359	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"CASTLEREAGH HIGHWAY, CULLEN BULLEN"	13.2km from Mudgee turnoff	Both Directions	-33.34063	150.03628	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Daroobalgie Site	"NEWELL HIGHWAY, DAROOBALGIE"	19.5km South of Parkes	Both Directions	-33.32421	148.06686	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Daroobalgie Site	"NEWELL HIGHWAY, DAROOBALGIE"	19.5km South of Parkes	Both Directions	-33.32319	148.0612	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"KIDMAN WAY, WALLANTHERY"	39km from Hillston and  216km to Cobar	Both Directions	-33.3209	145.83558	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"KIDMAN WAY, WALLANTHERY"	40km from Hillston and  215km to Cobar	Northbound	-33.31732	145.84024	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Chinamans Bend	"MITCHELL HIGHWAY, ORANGE"	52km from Bathurst	Both Directions	-33.31086	149.13942	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"BOREE-EUGOWRA RD, CUDAL"	1.3km West of Cudal	Both Directions	-33.2908	148.71433	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	North of Forbes	"NEWELL HIGHWAY, DAROOBALGIE"	20.5km South of Parkes	Both Directions	-33.28962	148.08818	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	North of Forbes	"NEWELL HIGHWAY, DAROOBALGIE"	19km South of Parkes	Both Directions	-33.27742	148.0971	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Mossgiel (MR80 Junction)	"COBB HIGHWAY, MOSSGIEL"	46.4km South of Ivanhoe	Both Directions	-33.2515	144.5666	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Mossgiel (MR80 Junction)	"COBB HIGHWAY, MOSSGIEL"	46.2km South of Ivanhoe	Both Directions	-33.25067	144.56634	Roads and Maritime Services	Litter Bins
Load Checking Area		"ORANGE-PARKES RD, MANILDRA"	At Forbes Rd Turn Off	Both Directions	-33.24532	148.81421	Other	Litter Bins
Load Checking Area		"KIDMAN WAY, WALLANTHERY"	49km from Hillston and  206km to Cobar	Both Directions	-33.23794	145.86037	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"THE PUTTY RD, NEW YARD"	54.1km from Kurmond Rd turn off	Both Directions	-33.22472	150.66438	Roads and Maritime Services	
Light Vehicle Rest Area	Billabong Creek Rest Area	"NEWELL HIGHWAY, PARKES"	10km South of Parkes	Both Directions	-33.20927	148.12516	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Manildra Honan Reserve	"ORANGE-PARKES RD, MANILDRA"	Manildra East	Both Directions	-33.18651	148.7019	Other	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Manildra Lions Park	"ORANGE-PARKES RD, MANILDRA"	Manildra	Both Directions	-33.18628	148.69493	Other	"Shelter, Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Pearsons lookout	"CASTLEREAGH HIGHWAY, BEN BULLEN"	33.8km from Mudgee turnoff	Both Directions	-33.1677	149.99861	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Gamboola Rest Area	"MOLONG RD, ORANGE"	13.3km from Orange	Both Directions	-33.16291	149.01005	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Capertee.	"CASTLEREAGH HIGHWAY, CAPERTEE"	36.9km from Mudgee turnoff	Both Directions	-33.14689	149.98452	Other	"Shelter, Picnic Tables, Playground, Litter Bins"
Light Vehicle Rest Area	Parkes Lions Park	"ORANGE-PARKES RD, PARKES"	Parkes East	Both Directions	-33.14259	148.19161	Other	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Light Vehicle Rest Area	Parkes Bushmans Dam Kelly Reserve	"CURRAJONG ST, PARKES"	Parkes town	Both Directions	-33.1246	148.17352	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Fairbridge Memorial Rest Area	"MOLONG RD, MOLONG"	29km from Orange	Both Directions	-33.12389	148.90868	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"MOLONG RD, MOLONG"	20.6km from Orange	Both Directions	-33.1208	148.95564	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	North Parkes	"DUBBO RD, PARKES"	North Parkes (80km Speed Signs)	Both Directions	-33.11264	148.17482	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"MOLONG RD, MOLONG"	34km from Orange	Westbound	-33.09907	148.87209	Other	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"CONDOBOLIN-TULLAMORE RD, CONDOBOLIN"	0.2km East of Condobolin	Both Directions	-33.07858	147.17767	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Popiltah Lake Rest Area	"SILVER CITY HIGHWAY, NR POPILTAH LAKE"	128.8km North of Wentworth	Both Directions	-33.06719	141.64336	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"NEWELL HIGHWAY, PARKES"	38.98km from Peak Hill	Both Directions	-33.06089	148.18174	Roads and Maritime Services	Litter Bins
Load Checking Area	Opposite Coombah Roadhouse	"SILVER CITY HIGHWAY, COOMBAH"	141.1km North of Wentworth	Westbound	-32.97997	141.62261	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Telescope Turnoff	"NEWELL HIGHWAY, PARKES"	28.5km from Peak Hill	Both Directions	-32.97642	148.22479	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"COBB HIGHWAY, NR ABBOTSFORD BORE"	9.5km South of Ivanhoe	Both Directions	-32.9628	144.36591	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Ilford Coach Stop & Information Bay	"CASTLEREAGH HIGHWAY, ILFORD"	64km from Mudgee turnoff	Both Directions	-32.95856	149.85784	Other	"Emergency Phone, Toilets, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Swamp Creek Rest Area	"THE PUTTY RD, HOWES VALLEY"	96km from Windsor	Southbound	-32.94089	150.70187	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Larras Lee	"MITCHELL HIGHWAY, NR MOLONG"	22km West of Molong	Both Directions	-32.91154	148.8907	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Opposite Claremont Lane	"NEWELL HIGHWAY, ALECTOWN"	15.3km South of Peak Hill	Both Directions	-32.86251	148.23138	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Wattaka Rest Areas	HUNTER EXPRESSWAY	7.6 km from Kurri Kurri	Westbound	-32.84654	151.54324	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Wattaka Rest Areas	HUNTER EXPRESSWAY	7.6 Km Kurri Kurri	Eastbound	-32.84633	151.5434	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Turner Park	"ABERDARE RD, CESSNOCK"	35.628km from Toronto	Both Directions	-32.84157	151.36546	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Mt. Hope	"KIDMAN WAY, MOUNT HOPE"	160.9km South of Cobar	Both Directions	-32.83996	145.87987	Council	"Emergency Phone, Litter Bins"
Heavy and Light Vehicle Rest Area	Two Mile Creek	"MITCHELL HIGHWAY, LARRAS LEE"	29.9km from Molong	Both Directions	-32.83403	148.90686	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Cudgegong Truck Rest Area	"CASTLEREAGH HIGHWAY, CUDGEGONG"	36.77km from Mudgee turnoff	Both Directions	-32.82491	149.81364	Roads and Maritime Services	
Light Vehicle Rest Area	F3/John Renshaw Drive Rest Area	"SYDNEY-NEWCASTLE FREEWAY, CAMERON PARK"	149km from Sydney	Eastbound	-32.81423	151.63499	Roads and Maritime Services	
Light Vehicle Rest Area		"THE PUTTY RD, HOWES VALLEY"	124km from Windsor	Both Directions	-32.80819	150.89876	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Cudgegong	"CASTLEREAGH HIGHWAY, CUDGEGONG"	85.15km from Mudgee turnoff	Both Directions	-32.79754	149.79755	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
